sample_name,total_reads,nonhost_reads,total_ercc_reads,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_idseq_dedup,nucleotide_type,collection_date,collection_location,Host Species
RR034B_416_uaRa_S201,13414892,4016234,253292,94.187,1.67,8375180,8362816,7888310,4721312,RNA,4/23/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_417_uaRa_S23,14682754,5869779,45250,95.829,1.84,9825530,9822202,9415710,5107800,RNA,4/23/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_418_uaRa_S67,150000000,28495732,7765780,93.286,3.01,69707570,69642798,65027300,21632830,RNA,4/23/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_419_uaRa_S111,14748558,2078478,1303312,88.673,1.69,6385982,6380798,5662626,3353420,RNA,4/23/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_420_uaRa_S199,19133454,4388988,103032,94.443,2.25,9362370,9349468,8842146,3926480,RNA,4/23/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_421_uaRa_S245,22035982,5605146,1178302,93.639,1.56,11672802,11659324,10930334,7028976,RNA,4/23/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_422_uaRa_S243,17718526,3991186,582332,92.913,2.05,9813086,9809194,9117606,4448314,RNA,4/23/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_423_uaRa_S287,5543416,1616332,28258,94.494,1.53,3115286,3095136,2943758,1928426,RNA,4/23/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_424_uaRa_S113,14004212,2540990,582616,91.973,1.69,9633886,9593530,8860548,5256024,RNA,4/23/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_425_uaRa_S12,43382,13292,0,57.134,1.73,31596,20258,18052,10462,RNA,7/13/14,"Mahabo, Madagascar",Pteropus rufus
RR034B_426_uaRa_S255,12072,2352,0,26.615,1.33,11204,3266,2982,2234,RNA,7/18/14,"Mahabo, Madagascar",Pteropus rufus
RR034B_427_uaRa_S299,53334,17220,0,75.915,1.64,32418,27570,24610,15002,RNA,7/18/14,"Mahabo, Madagascar",Pteropus rufus
RR034B_428_uaRa_S209,58740,31540,0,84.19,2.56,51310,47158,43198,16860,RNA,7/13/14,"Mahabo, Madagascar",Pteropus rufus
RR034B_429_uaRa_S37,5756,2372,0,78.123,1.36,4114,3532,3214,2368,RNA,7/13/14,"Mahabo, Madagascar",Pteropus rufus
RR034B_430_uaRa_S253,334440,17398,248898,86.185,2.07,76886,71554,66264,31958,RNA,7/13/14,"Mahabo, Madagascar",Pteropus rufus
RR034B_431_uaRa_S297,48640,19682,0,65.22,2.57,42984,30770,28034,10914,RNA,7/13/14,"Mahabo, Madagascar",Pteropus rufus
RR034B_432_uaRa_S33,4615352,27510,4332566,65.265,1.82,266644,243038,174024,95770,RNA,7/12/15,"Makira, Madagascar",Pteropus rufus
RR034B_433_uaRa_S77,127690,55088,0,86.02,2.55,92034,85850,79168,31080,RNA,7/14/15,"Makira, Madagascar",Pteropus rufus
RR034B_434_uaRa_S81,47882,22940,0,77.229,2.84,38628,32532,29832,10516,RNA,9/1/14,"Marovitsika, Madagascar",Pteropus rufus
RR034B_435_uaRa_S35,115898,40980,0,82.323,2.57,77060,69118,63438,24692,RNA,3/11/15,"Marovitsika, Madagascar",Pteropus rufus
RR034B_436_uaRa_S79,4276,1432,0,74.686,1.25,2868,2306,2142,1708,RNA,11/7/13,"Marovitsika, Madagascar",Pteropus rufus
RR034B_437_uaRa_S125,2366,378,0,20.674,1.13,2196,504,454,402,RNA,5/17/15,"Marovitsika, Madagascar",Pteropus rufus
RR034B_438_uaRa_S123,3020,1116,0,54.255,1.17,2632,1588,1428,1224,RNA,11/7/13,"Marovitsika, Madagascar",Pteropus rufus
RR034B_439_uaRa_S127,6783982,1557304,64996,93.805,1.55,3386790,3362332,3176974,2053312,RNA,2/18/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_440_uaRa_S169,4545294,280372,1308776,88.859,1.73,2766168,2764524,2457978,1420094,RNA,2/18/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_441_uaRa_S213,3273658,61414,2863258,83.299,1.58,345964,345370,288186,182934,RNA,2/18/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_442_uaRa_S257,20012088,1624069,897744,90.406,2.1,17014482,16991240,15382086,7329034,RNA,2/18/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_444_uaRa_S39,5716440,272602,2729584,89.888,2.12,2537020,2532452,2280466,1076752,RNA,2/18/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_445_uaRa_S301,3063022,98416,125414,90.712,1.65,2524794,2523354,2290302,1386842,RNA,2/18/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_446_uaRa_S83,7165288,1494638,182508,92.386,1.41,4296682,4293908,3969518,2809924,RNA,4/13/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_447_uaRa_S171,7380996,1690812,2275570,91.818,1.7,3545372,3542658,3255292,1915692,RNA,4/14/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_448_uaRa_S303,6961666,327160,1624208,89.84,2.06,4681436,4666816,4205816,2040520,RNA,7/29/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_449_uaRa_S41,15934322,1852137,5261290,89.395,1.99,8350830,8342248,7465234,3749158,RNA,7/29/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_450_uaRa_S85,8961566,729076,5785274,85.859,2.22,2619858,2614472,2249380,1013924,RNA,7/29/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_451_uaRa_S129,19662042,1233282,9138472,89.204,2.95,8769868,8760294,7823106,2651722,RNA,7/29/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_452_uaRa_S173,13597866,3736212,1140760,94.509,2.51,11972438,11966814,11315082,4509428,RNA,7/29/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_453_uaRa_S217,9266954,506692,6978346,82.274,2.5,1956688,1907580,1609836,644034,RNA,9/11/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_454_uaRa_S261,16717692,2782157,1830766,92.159,1.95,11728316,11723910,10808670,5555412,RNA,9/11/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_455_uaRa_S226,8216972,369674,5664242,84.834,2.39,2218788,2214040,1882280,787240,RNA,12/21/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_456_uaRa_S270,11765246,1223566,8274606,84.087,2.34,2611428,2605386,2195864,938266,RNA,12/21/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_457_uaRa_S8,11967640,44286,8080,92.525,2.44,10739600,10668682,9936792,4078804,RNA,12/21/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_458_uaRa_S272,15758866,421898,8714670,87.464,2.47,5845596,5822802,5112804,2067880,RNA,12/21/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_459_uaRa_S10,10387096,512985,8766,94.919,2.37,8693458,8656332,8251736,3476810,RNA,12/21/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_460_uaRa_S64,11358794,1188154,5120014,91.748,2.81,5545828,5526750,5088200,1807844,RNA,12/21/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_461_uaRa_S305,10650352,4531918,763412,94.414,1.64,7937746,7933844,7494314,4567820,RNA,12/22/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_462_uaRa_S43,11622088,432948,8964058,85.414,2.26,2383098,2366026,2035488,901296,RNA,1/3/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_463_uaRa_S87,9881286,1195824,2264010,92.604,2.17,6017070,6009730,5572068,2573550,RNA,1/3/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_464_uaRa_S131,5389422,549100,15106,95.988,2.11,4864546,4853970,4669374,2212690,RNA,1/3/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_465_uaRa_S175,12692350,897154,6203660,90.369,2.22,4983820,4962440,4503844,2025714,RNA,1/3/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_466_uaRa_S263,10057584,117954,8392528,78.676,2.55,1462866,1406328,1150930,451082,RNA,1/3/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_467_uaRa_S2,14626668,685386,11359292,80.167,2.46,2942842,2923530,2359184,957862,RNA,1/4/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_468_uaRa_S46,12113022,222452,8208890,86.178,2.23,3318598,3300598,2859912,1283018,RNA,1/4/19,"Maromizaha, Madagascar",Rousettus madagascariensis
