sampleid,czb_id,sample_type,henipavirus,roost_site,latitude_s,longitude_e,collection_date,bat_species,bat_sex,unique_tag_id,recap,bat_age_class,notes
KEL309,RR034B_417_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/23/19,Eidolon dupreanum,female,1655,no,NL,
KEL310,RR034B_418_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/23/19,Eidolon dupreanum,female,1666_2,no,NL,
KEL312,RR034B_419_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/23/19,Eidolon dupreanum,male,1639,no,A,
KEL315,RR034B_420_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/23/19,Eidolon dupreanum,female,1670,no,NL,
KEL317,RR034B_421_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/23/19,Eidolon dupreanum,male,1672,no,A,
KEL318,RR034B_422_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/23/19,Eidolon dupreanum,female,1673,no,NL,
KEL322,RR034B_423_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/23/19,Eidolon dupreanum,female,1647,no,NL,
KEL334,RR034B_424_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/23/19,Eidolon dupreanum,female,1628,no,NL,
MAH1,RR034B_425_uaRa,urine,0,Mahabo,-20.4643,44.6822,7/13/14,Pteropus rufus,female,409,NA,NL,
MAH11,RR034B_426_uaRa,urine,0,Mahabo,-20.4643,44.6822,7/18/14,Pteropus rufus,male,420,NA,A,
MAH12,RR034B_427_uaRa,urine,0,Mahabo,-20.4643,44.6822,7/18/14,Pteropus rufus,female,421,NA,NL,
MAH3,RR034B_428_uaRa,urine,0,Mahabo,-20.4643,44.6822,7/13/14,Pteropus rufus,male,411,NA,J,
MAH4,RR034B_429_uaRa,urine,0,Mahabo,-20.4643,44.6822,7/13/14,Pteropus rufus,female,412,NA,NL,
MAH6,RR034B_430_uaRa,urine,0,Mahabo,-20.4643,44.6822,7/13/14,Pteropus rufus,female,414,NA,NL,
MAH7,RR034B_431_uaRa,urine,0,Mahabo,-20.4643,44.6822,7/13/14,Pteropus rufus,male,415,NA,A,
MAK12,RR034B_432_uaRa,urine,0,Makira,-15.1054,49.5864,7/12/15,Pteropus rufus,male,499,NA,A,
MAK13,RR034B_433_uaRa,urine,0,Makira,-15.1054,49.5864,7/14/15,Pteropus rufus,male,1301,NA,A,
MARO43,RR034B_434_uaRa,urine,0,Marovitsika,-18.8403,48.0554,9/1/14,Pteropus rufus,female,436,NA,NL,
MARO66,RR034B_435_uaRa,urine,0,Marovitsika,-18.8403,48.0554,3/11/15,Pteropus rufus,male,369,NA,A,
MARO7,RR034B_436_uaRa,urine,0,Marovitsika,-18.8403,48.0554,11/7/13,Pteropus rufus,female,305,NA,L,
MARO79,RR034B_437_uaRa,urine,0,Marovitsika,-18.8403,48.0554,5/17/15,Pteropus rufus,male,488,NA,J,
MARO8,RR034B_438_uaRa,urine,0,Marovitsika,-18.8403,48.0554,11/7/13,Pteropus rufus,male,,NA,J,
MIZ136,RR034B_439_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/18/18,Rousettus madagascariensis,female,M2,no,L,
MIZ142,RR034B_440_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/18/18,Rousettus madagascariensis,male,M7,no,A,
MIZ143,RR034B_441_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/18/18,Rousettus madagascariensis,female,M8,no,NL,
MIZ144,RR034B_442_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/18/18,Rousettus madagascariensis,female,M9,no,J,
MIZ151,RR034B_444_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/18/18,Rousettus madagascariensis,male,M16,no,A,
MIZ152,RR034B_445_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/18/18,Rousettus madagascariensis,female,M17,no,NL,
MIZ168,RR034B_446_uaRa,urine,0,Maromizaha,-18.9623,48.4525,4/13/18,Rousettus madagascariensis,female,,no,NL,
MIZ184,RR034B_447_uaRa,urine,0,Maromizaha,-18.9623,48.4525,4/14/18,Rousettus madagascariensis,female,,no,NL,
MIZ188,RR034B_448_uaRa,urine,0,Maromizaha,-18.9623,48.4525,7/29/18,Rousettus madagascariensis,male,M30,no,A,
MIZ190,RR034B_449_uaRa,urine,0,Maromizaha,-18.9623,48.4525,7/29/18,Rousettus madagascariensis,male,M32,no,A,
MIZ195,RR034B_450_uaRa,urine,0,Maromizaha,-18.9623,48.4525,7/29/18,Rousettus madagascariensis,female,M37,no,NL,
MIZ207,RR034B_451_uaRa,urine,0,Maromizaha,-18.9623,48.4525,7/29/18,Rousettus madagascariensis,female,M49,no,NL,
MIZ208,RR034B_452_uaRa,urine,0,Maromizaha,-18.9623,48.4525,7/29/18,Rousettus madagascariensis,male,M50,no,A,
MIZ225,RR034B_453_uaRa,urine,0,Maromizaha,-18.9623,48.4525,9/11/18,Rousettus madagascariensis,female,M68,no,J,
MIZ236,RR034B_454_uaRa,urine,0,Maromizaha,-18.9623,48.4525,9/11/18,Rousettus madagascariensis,female,M79,no,NL,
MIZ260,RR034B_455_uaRa,urine,0,Maromizaha,-18.9623,48.4525,12/21/18,Rousettus madagascariensis,male,M98,yes,A,
MIZ261,RR034B_456_uaRa,urine,0,Maromizaha,-18.9623,48.4525,12/21/18,Rousettus madagascariensis,female,M99,no,L,
MIZ262,RR034B_457_uaRa,urine,0,Maromizaha,-18.9623,48.4525,12/21/18,Rousettus madagascariensis,female,M100,no,L,
MIZ265,RR034B_458_uaRa,urine,0,Maromizaha,-18.9623,48.4525,12/21/18,Rousettus madagascariensis,male,M101,no,A,
MIZ267,RR034B_459_uaRa,urine,0,Maromizaha,-18.9623,48.4525,12/21/18,Rousettus madagascariensis,female,M103,yes,J,
MIZ271,RR034B_460_uaRa,urine,0,Maromizaha,-18.9623,48.4525,12/21/18,Rousettus madagascariensis,female,M106,no,L,
MIZ274,RR034B_461_uaRa,urine,0,Maromizaha,-18.9623,48.4525,12/22/18,Rousettus madagascariensis,male,M108,no,A,
MIZ277,RR034B_462_uaRa,urine,0,Maromizaha,-18.9623,48.4525,1/3/19,Rousettus madagascariensis,male,M98,yes,A,
